<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	1.07882	1.07892	1.07853	1.07867	90	0	13
2024.05.14	00:15:00	1.07866	1.07874	1.07854	1.07868	61	0	23
2024.05.14	00:30:00	1.07868	1.07891	1.07868	1.07887	55	0	24
2024.05.14	00:45:00	1.07888	1.07899	1.07879	1.07883	59	0	14
2024.05.14	01:00:00	1.07882	1.07897	1.07872	1.07887	54	0	8
2024.05.14	01:15:00	1.07887	1.07893	1.07883	1.07893	72	0	8
2024.05.14	01:30:00	1.07892	1.07897	1.07889	1.07893	73	0	7
2024.05.14	01:45:00	1.07893	1.07895	1.07892	1.07894	27	0	9
2024.05.14	02:00:00	1.07896	1.07912	1.07896	1.07909	64	0	0
2024.05.14	02:15:00	1.07909	1.07928	1.07909	1.07925	113	0	1
2024.05.14	02:30:00	1.07925	1.07927	1.07917	1.07920	119	0	0
2024.05.14	02:45:00	1.07920	1.07935	1.07919	1.07919	134	0	0
2024.05.14	03:00:00	1.07919	1.07922	1.07884	1.07899	166	0	0
2024.05.14	03:15:00	1.07899	1.07906	1.07874	1.07874	113	0	0
2024.05.14	03:30:00	1.07874	1.07882	1.07854	1.07854	86	0	0
2024.05.14	03:45:00	1.07854	1.07883	1.07854	1.07875	253	0	1
2024.05.14	04:00:00	1.07875	1.07896	1.07873	1.07879	218	0	0
2024.05.14	04:15:00	1.07879	1.07880	1.07851	1.07853	195	0	1
2024.05.14	04:30:00	1.07853	1.07859	1.07843	1.07853	180	0	0
2024.05.14	04:45:00	1.07853	1.07886	1.07853	1.07873	293	0	0
2024.05.14	05:00:00	1.07873	1.07873	1.07848	1.07858	159	0	0
2024.05.14	05:15:00	1.07857	1.07861	1.07848	1.07850	85	0	1
2024.05.14	05:30:00	1.07850	1.07858	1.07844	1.07848	92	0	0
2024.05.14	05:45:00	1.07848	1.07870	1.07848	1.07866	129	0	0
2024.05.14	06:00:00	1.07866	1.07870	1.07853	1.07857	164	0	0
2024.05.14	06:15:00	1.07853	1.07869	1.07853	1.07868	128	0	0
2024.05.14	06:30:00	1.07868	1.07880	1.07868	1.07875	154	0	0
2024.05.14	06:45:00	1.07875	1.07877	1.07857	1.07875	159	0	1
2024.05.14	07:00:00	1.07876	1.07886	1.07874	1.07884	69	0	0
2024.05.14	07:15:00	1.07884	1.07888	1.07868	1.07874	113	0	1
2024.05.14	07:30:00	1.07874	1.07876	1.07863	1.07876	109	0	0
2024.05.14	07:45:00	1.07876	1.07876	1.07853	1.07853	104	0	0
2024.05.14	08:00:00	1.07853	1.07855	1.07844	1.07848	101	0	1
2024.05.14	08:15:00	1.07848	1.07861	1.07843	1.07854	131	0	0
2024.05.14	08:30:00	1.07854	1.07871	1.07853	1.07867	149	0	0
2024.05.14	08:45:00	1.07867	1.07869	1.07848	1.07863	134	0	0
2024.05.14	09:00:00	1.07862	1.07878	1.07853	1.07877	449	0	0
2024.05.14	09:15:00	1.07877	1.07893	1.07838	1.07838	319	0	1
2024.05.14	09:30:00	1.07839	1.07875	1.07829	1.07859	352	0	0
2024.05.14	09:45:00	1.07859	1.07882	1.07858	1.07874	285	0	0
2024.05.14	10:00:00	1.07875	1.07889	1.07856	1.07876	367	0	0
2024.05.14	10:15:00	1.07877	1.07887	1.07861	1.07884	315	0	0
2024.05.14	10:30:00	1.07884	1.07889	1.07857	1.07872	294	0	0
2024.05.14	10:45:00	1.07872	1.07882	1.07861	1.07872	312	0	0
2024.05.14	11:00:00	1.07872	1.07872	1.07771	1.07771	434	0	0
2024.05.14	11:15:00	1.07771	1.07785	1.07753	1.07774	536	0	0
2024.05.14	11:30:00	1.07774	1.07823	1.07766	1.07816	442	0	0
2024.05.14	11:45:00	1.07816	1.07852	1.07812	1.07835	371	0	0
2024.05.14	12:00:00	1.07835	1.07891	1.07835	1.07890	423	0	0
2024.05.14	12:15:00	1.07890	1.07933	1.07890	1.07900	373	0	0
2024.05.14	12:30:00	1.07898	1.07905	1.07863	1.07877	316	0	0
2024.05.14	12:45:00	1.07877	1.07935	1.07877	1.07928	320	0	0
2024.05.14	13:00:00	1.07928	1.07951	1.07925	1.07938	296	0	0
2024.05.14	13:15:00	1.07939	1.07949	1.07931	1.07946	263	0	0
2024.05.14	13:30:00	1.07946	1.07955	1.07921	1.07948	318	0	0
2024.05.14	13:45:00	1.07948	1.07988	1.07946	1.07962	318	0	0
2024.05.14	14:00:00	1.07962	1.07989	1.07951	1.07973	331	0	0
2024.05.14	14:15:00	1.07973	1.07986	1.07964	1.07969	288	0	0
2024.05.14	14:30:00	1.07969	1.07989	1.07969	1.07970	195	0	0
2024.05.14	14:45:00	1.07970	1.07972	1.07925	1.07925	224	0	0
2024.05.14	15:00:00	1.07927	1.07981	1.07920	1.07979	434	0	0
2024.05.14	15:15:00	1.07980	1.07990	1.07955	1.07963	271	0	0
2024.05.14	15:30:00	1.07926	1.08091	1.07664	1.08052	1418	0	0
2024.05.14	15:45:00	1.08049	1.08104	1.08000	1.08032	958	0	0
2024.05.14	16:00:00	1.08030	1.08218	1.08006	1.08194	1039	0	0
2024.05.14	16:15:00	1.08197	1.08226	1.08120	1.08154	691	0	0
2024.05.14	16:30:00	1.08155	1.08179	1.08118	1.08135	714	0	0
2024.05.14	16:45:00	1.08133	1.08190	1.08123	1.08188	548	0	0
2024.05.14	17:00:00	1.08188	1.08235	1.08154	1.08177	578	0	0
2024.05.14	17:15:00	1.08177	1.08183	1.08100	1.08115	636	0	0
2024.05.14	17:30:00	1.08115	1.08188	1.08099	1.08169	585	0	0
2024.05.14	17:45:00	1.08170	1.08256	1.08154	1.08248	638	0	0
2024.05.14	18:00:00	1.08248	1.08249	1.08214	1.08236	449	0	0
2024.05.14	18:15:00	1.08239	1.08244	1.08161	1.08180	394	0	0
2024.05.14	18:30:00	1.08184	1.08192	1.08150	1.08176	386	0	0
2024.05.14	18:45:00	1.08177	1.08231	1.08168	1.08183	383	0	0
2024.05.14	19:00:00	1.08183	1.08183	1.08150	1.08173	373	0	0
2024.05.14	19:15:00	1.08172	1.08175	1.08138	1.08155	327	0	0
2024.05.14	19:30:00	1.08155	1.08200	1.08150	1.08175	321	0	0
2024.05.14	19:45:00	1.08175	1.08194	1.08158	1.08168	277	0	0
2024.05.14	20:00:00	1.08168	1.08196	1.08154	1.08184	290	0	0
2024.05.14	20:15:00	1.08184	1.08194	1.08167	1.08188	239	0	0
2024.05.14	20:30:00	1.08188	1.08199	1.08172	1.08196	242	0	0
2024.05.14	20:45:00	1.08196	1.08199	1.08182	1.08190	197	0	0
2024.05.14	21:00:00	1.08190	1.08221	1.08187	1.08218	151	0	0
2024.05.14	21:15:00	1.08218	1.08229	1.08205	1.08208	185	0	0
2024.05.14	21:30:00	1.08209	1.08222	1.08201	1.08208	168	0	0
2024.05.14	21:45:00	1.08208	1.08208	1.08193	1.08198	216	0	0
2024.05.14	22:00:00	1.08198	1.08213	1.08192	1.08205	243	0	0
2024.05.14	22:15:00	1.08205	1.08214	1.08200	1.08212	202	0	1
2024.05.14	22:30:00	1.08213	1.08214	1.08204	1.08209	214	0	0
2024.05.14	22:45:00	1.08208	1.08217	1.08198	1.08200	264	0	0
2024.05.14	23:00:00	1.08199	1.08206	1.08175	1.08175	139	0	2
2024.05.14	23:15:00	1.08175	1.08188	1.08174	1.08181	86	0	5
2024.05.14	23:30:00	1.08181	1.08195	1.08179	1.08184	115	0	8
2024.05.14	23:45:00	1.08184	1.08198	1.08180	1.08182	117	0	1
2024.05.15	00:00:00	1.08172	1.08190	1.08153	1.08161	163	0	13
2024.05.15	00:15:00	1.08157	1.08184	1.08155	1.08157	127	0	29
2024.05.15	00:30:00	1.08155	1.08165	1.08155	1.08161	58	0	33
2024.05.15	00:45:00	1.08162	1.08166	1.08150	1.08158	76	0	16
2024.05.15	01:00:00	1.08161	1.08172	1.08157	1.08158	75	0	8
2024.05.15	01:15:00	1.08158	1.08165	1.08157	1.08163	55	0	10
2024.05.15	01:30:00	1.08163	1.08168	1.08161	1.08163	41	0	9
2024.05.15	01:45:00	1.08163	1.08166	1.08161	1.08163	29	0	9
2024.05.15	02:00:00	1.08164	1.08169	1.08151	1.08151	81	0	1
2024.05.15	02:15:00	1.08150	1.08160	1.08150	1.08153	91	0	0
2024.05.15	02:30:00	1.08153	1.08154	1.08142	1.08148	87	0	1
2024.05.15	02:45:00	1.08148	1.08157	1.08137	1.08138	132	0	0
2024.05.15	03:00:00	1.08138	1.08167	1.08131	1.08159	259	0	0
2024.05.15	03:15:00	1.08159	1.08174	1.08158	1.08162	239	0	0
2024.05.15	03:30:00	1.08162	1.08172	1.08152	1.08157	204	0	1
2024.05.15	03:45:00	1.08157	1.08177	1.08149	1.08169	255	0	0
2024.05.15	04:00:00	1.08169	1.08175	1.08164	1.08168	248	0	0
2024.05.15	04:15:00	1.08168	1.08194	1.08167	1.08194	242	0	0
2024.05.15	04:30:00	1.08194	1.08219	1.08180	1.08204	220	0	0
2024.05.15	04:45:00	1.08204	1.08225	1.08203	1.08224	132	0	0
2024.05.15	05:00:00	1.08224	1.08230	1.08207	1.08208	150	0	0
2024.05.15	05:15:00	1.08208	1.08224	1.08198	1.08222	147	0	1
2024.05.15	05:30:00	1.08222	1.08266	1.08216	1.08251	232	0	0
2024.05.15	05:45:00	1.08255	1.08260	1.08232	1.08252	141	0	0
2024.05.15	06:00:00	1.08254	1.08267	1.08249	1.08263	170	0	0
2024.05.15	06:15:00	1.08262	1.08268	1.08258	1.08264	149	0	0
2024.05.15	06:30:00	1.08264	1.08277	1.08259	1.08264	154	0	0
2024.05.15	06:45:00	1.08264	1.08271	1.08259	1.08260	95	0	0
2024.05.15	07:00:00	1.08260	1.08261	1.08242	1.08244	129	0	1
2024.05.15	07:15:00	1.08244	1.08247	1.08229	1.08232	140	0	0
2024.05.15	07:30:00	1.08231	1.08233	1.08213	1.08221	156	0	0
2024.05.15	07:45:00	1.08221	1.08221	1.08204	1.08214	52	0	0
2024.05.15	08:00:00	1.08214	1.08247	1.08212	1.08240	136	0	0
2024.05.15	08:15:00	1.08240	1.08245	1.08224	1.08226	103	0	0
2024.05.15	08:30:00	1.08225	1.08241	1.08224	1.08231	214	0	0
2024.05.15	08:45:00	1.08232	1.08280	1.08230	1.08269	207	0	0
2024.05.15	09:00:00	1.08272	1.08287	1.08255	1.08258	355	0	0
2024.05.15	09:15:00	1.08258	1.08258	1.08225	1.08242	307	0	0
2024.05.15	09:30:00	1.08241	1.08257	1.08233	1.08243	266	0	0
2024.05.15	09:45:00	1.08244	1.08306	1.08242	1.08303	382	0	0
2024.05.15	10:00:00	1.08304	1.08322	1.08272	1.08304	506	0	0
2024.05.15	10:15:00	1.08306	1.08325	1.08278	1.08302	428	0	0
