<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	1.07882	1.08256	1.07664	1.08182	27034	0	0
2024.05.15	1.08172	1.08857	1.08131	1.08837	32000	0	0
2024.05.16	1.08837	1.08949	1.08544	1.08663	31296	0	0
2024.05.17	1.08662	1.08783	1.08358	1.08685	26821	0	0
2024.05.20	1.08670	1.08845	1.08535	1.08561	26875	0	0
2024.05.21	1.08557	1.08748	1.08429	1.08532	30456	0	0
2024.05.22	1.08518	1.08634	1.08174	1.08221	31390	0	0
2024.05.23	1.08214	1.08610	1.08047	1.08144	35204	0	0
2024.05.24	1.08141	1.08578	1.08054	1.08457	30316	0	0
2024.05.27	1.08480	1.08674	1.08409	1.08581	18390	0	0
2024.05.28	1.08564	1.08890	1.08506	1.08559	33911	0	0
2024.05.29	1.08555	1.08588	1.07994	1.08003	33542	0	0
2024.05.30	1.08003	1.08451	1.07885	1.08313	35848	0	0
2024.05.31	1.08309	1.08822	1.08112	1.08474	38906	0	0
2024.06.03	1.08500	1.09039	1.08278	1.09036	37488	0	0
2024.06.04	1.09029	1.09160	1.08593	1.08785	40693	0	0
2024.06.05	1.08781	1.08917	1.08544	1.08678	33307	0	0
2024.06.06	1.08677	1.09020	1.08622	1.08870	33441	0	0
2024.06.07	1.08857	1.09019	1.07992	1.07994	39246	0	0
2024.06.10	1.07740	1.07816	1.07327	1.07644	34550	0	0
2024.06.11	1.07643	1.07735	1.07196	1.07396	34599	0	0
2024.06.12	1.07365	1.08523	1.07330	1.08081	41931	0	0
2024.06.13	1.08081	1.08165	1.07330	1.07363	38194	0	0
2024.06.14	1.07358	1.07449	1.06676	1.07018	42292	0	0
2024.06.17	1.07035	1.07378	1.06863	1.07326	36932	0	0
2024.06.18	1.07336	1.07614	1.07099	1.07393	37702	0	0
2024.06.19	1.07393	1.07533	1.07248	1.07416	24414	0	0
2024.06.20	1.07419	1.07488	1.07009	1.07011	35294	0	0
2024.06.21	1.07012	1.07205	1.06710	1.06915	35880	0	0
2024.06.24	1.06850	1.07464	1.06835	1.07313	32499	0	0
2024.06.25	1.07314	1.07442	1.06908	1.07132	30817	0	0
2024.06.26	1.07116	1.07179	1.06659	1.06797	33720	0	0
2024.06.27	1.06787	1.07264	1.06740	1.07032	34481	0	0
2024.06.28	1.06999	1.07248	1.06853	1.07116	38432	0	0
2024.07.01	1.07450	1.07762	1.07197	1.07397	38290	0	0
2024.07.02	1.07384	1.07417	1.07120	1.07202	13018	0	0
2024.07.03	1.07444	1.08168	1.07360	1.07810	30939	0	0
2024.07.04	1.07804	1.08138	1.07778	1.08100	22237	0	0
2024.07.05	1.08089	1.08425	1.08026	1.08397	32949	0	0
2024.07.08	1.08020	1.08449	1.08002	1.08232	33432	0	0
2024.07.09	1.08223	1.08333	1.08055	1.08131	30378	0	0
2024.07.10	1.08115	1.08299	1.08092	1.08296	28761	0	0
2024.07.11	1.08284	1.08995	1.08249	1.08677	37399	0	0
2024.07.12	1.08676	1.09113	1.08598	1.09055	37757	0	0
2024.07.15	1.08860	1.09222	1.08818	1.08937	37366	0	0
2024.07.16	1.08884	1.09055	1.08715	1.08987	34217	0	0
2024.07.17	1.08968	1.09480	1.08950	1.09388	39459	0	0
2024.07.18	1.09380	1.09410	1.08936	1.08959	38237	0	0
2024.07.19	1.08955	1.09017	1.08754	1.08839	37554	0	0
2024.07.22	1.08880	1.09025	1.08731	1.08902	34953	0	0
2024.07.23	1.08887	1.08967	1.08437	1.08530	33815	0	0
2024.07.24	1.08514	1.08665	1.08257	1.08393	37830	0	0
2024.07.25	1.08392	1.08699	1.08282	1.08446	45357	0	0
2024.07.26	1.08448	1.08682	1.08421	1.08552	34860	0	0
2024.07.29	1.08570	1.08698	1.08026	1.08206	33114	0	0
2024.07.30	1.08198	1.08356	1.07984	1.08141	35053	0	0
2024.07.31	1.08140	1.08493	1.08018	1.08247	46488	0	0
2024.08.01	1.08238	1.08352	1.07773	1.07909	45718	0	0
2024.08.02	1.07905	1.09265	1.07816	1.09102	53114	0	0
2024.08.05	1.09221	1.10084	1.08925	1.09504	77556	0	0
2024.08.06	1.09512	1.09630	1.09036	1.09284	61003	0	0
2024.08.07	1.09303	1.09366	1.09054	1.09203	50149	0	0
2024.08.08	1.09203	1.09450	1.08813	1.09177	45670	0	0
2024.08.09	1.09177	1.09312	1.09090	1.09151	33649	0	0
2024.08.12	1.09146	1.09393	1.09100	1.09305	29494	0	1
2024.08.13	1.09292	1.09996	1.09136	1.09919	32423	0	1
2024.08.14	1.09900	1.10471	1.09793	1.10112	33950	0	1
2024.08.15	1.10109	1.10154	1.09493	1.09712	30373	0	1
2024.08.16	1.09709	1.10293	1.09662	1.10271	28288	0	3
2024.08.19	1.10268	1.10861	1.10220	1.10841	32211	0	3
2024.08.20	1.10833	1.11301	1.10717	1.11280	33368	0	1
2024.08.21	1.11270	1.11325	1.11166	1.11209	3984	0	3
