<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	1.25552	1.25585	1.25534	1.25561	87	0	16
2024.05.14	00:15:00	1.25543	1.25573	1.25531	1.25552	72	0	34
2024.05.14	00:30:00	1.25551	1.25574	1.25545	1.25565	88	0	28
2024.05.14	00:45:00	1.25565	1.25585	1.25543	1.25575	139	0	24
2024.05.14	01:00:00	1.25575	1.25604	1.25574	1.25585	86	0	0
2024.05.14	01:15:00	1.25585	1.25585	1.25573	1.25575	24	0	12
2024.05.14	01:30:00	1.25575	1.25593	1.25574	1.25584	84	0	10
2024.05.14	01:45:00	1.25584	1.25585	1.25564	1.25574	44	0	14
2024.05.14	02:00:00	1.25574	1.25587	1.25567	1.25576	53	0	6
2024.05.14	02:15:00	1.25576	1.25591	1.25576	1.25586	53	0	7
2024.05.14	02:30:00	1.25586	1.25590	1.25581	1.25581	42	0	6
2024.05.14	02:45:00	1.25581	1.25619	1.25581	1.25596	42	0	5
2024.05.14	03:00:00	1.25596	1.25604	1.25556	1.25574	263	0	5
2024.05.14	03:15:00	1.25574	1.25580	1.25538	1.25538	248	0	4
2024.05.14	03:30:00	1.25538	1.25553	1.25531	1.25539	219	0	5
2024.05.14	03:45:00	1.25539	1.25583	1.25539	1.25570	294	0	2
2024.05.14	04:00:00	1.25570	1.25592	1.25563	1.25571	270	0	3
2024.05.14	04:15:00	1.25571	1.25572	1.25540	1.25547	348	0	4
2024.05.14	04:30:00	1.25548	1.25558	1.25528	1.25534	403	0	4
2024.05.14	04:45:00	1.25538	1.25572	1.25536	1.25560	332	0	5
2024.05.14	05:00:00	1.25560	1.25563	1.25546	1.25558	209	0	4
2024.05.14	05:15:00	1.25558	1.25561	1.25540	1.25546	236	0	5
2024.05.14	05:30:00	1.25546	1.25557	1.25537	1.25549	183	0	4
2024.05.14	05:45:00	1.25550	1.25568	1.25537	1.25565	296	0	2
2024.05.14	06:00:00	1.25567	1.25577	1.25549	1.25550	277	0	2
2024.05.14	06:15:00	1.25549	1.25568	1.25546	1.25566	348	0	5
2024.05.14	06:30:00	1.25566	1.25591	1.25558	1.25577	237	0	4
2024.05.14	06:45:00	1.25578	1.25588	1.25560	1.25588	332	0	3
2024.05.14	07:00:00	1.25590	1.25596	1.25578	1.25579	214	0	0
2024.05.14	07:15:00	1.25580	1.25583	1.25558	1.25560	173	0	1
2024.05.14	07:30:00	1.25560	1.25566	1.25542	1.25562	166	0	0
2024.05.14	07:45:00	1.25562	1.25563	1.25530	1.25540	141	0	0
2024.05.14	08:00:00	1.25540	1.25546	1.25522	1.25539	169	0	0
2024.05.14	08:15:00	1.25539	1.25563	1.25538	1.25548	192	0	1
2024.05.14	08:30:00	1.25548	1.25573	1.25548	1.25564	171	0	0
2024.05.14	08:45:00	1.25564	1.25564	1.25518	1.25528	203	0	1
2024.05.14	09:00:00	1.25529	1.25617	1.25475	1.25589	578	0	0
2024.05.14	09:15:00	1.25589	1.25633	1.25553	1.25560	435	0	0
2024.05.14	09:30:00	1.25560	1.25580	1.25518	1.25566	319	0	0
2024.05.14	09:45:00	1.25566	1.25605	1.25558	1.25586	258	0	0
2024.05.14	10:00:00	1.25586	1.25593	1.25512	1.25520	404	0	0
2024.05.14	10:15:00	1.25519	1.25522	1.25461	1.25489	423	0	0
2024.05.14	10:30:00	1.25489	1.25513	1.25466	1.25513	362	0	0
2024.05.14	10:45:00	1.25513	1.25524	1.25464	1.25519	352	0	0
2024.05.14	11:00:00	1.25519	1.25532	1.25216	1.25216	738	0	0
2024.05.14	11:15:00	1.25218	1.25242	1.25091	1.25133	650	0	0
2024.05.14	11:30:00	1.25133	1.25229	1.25109	1.25210	566	0	0
2024.05.14	11:45:00	1.25210	1.25309	1.25190	1.25285	473	0	0
2024.05.14	12:00:00	1.25285	1.25340	1.25262	1.25336	643	0	0
2024.05.14	12:15:00	1.25336	1.25384	1.25334	1.25374	492	0	0
2024.05.14	12:30:00	1.25374	1.25392	1.25331	1.25354	346	0	0
2024.05.14	12:45:00	1.25355	1.25445	1.25351	1.25434	331	0	0
2024.05.14	13:00:00	1.25435	1.25503	1.25434	1.25489	299	0	0
2024.05.14	13:15:00	1.25489	1.25519	1.25471	1.25508	292	0	0
2024.05.14	13:30:00	1.25509	1.25540	1.25480	1.25536	334	0	0
2024.05.14	13:45:00	1.25536	1.25578	1.25533	1.25541	368	0	0
2024.05.14	14:00:00	1.25542	1.25572	1.25525	1.25568	376	0	0
2024.05.14	14:15:00	1.25568	1.25589	1.25548	1.25551	384	0	0
2024.05.14	14:30:00	1.25553	1.25590	1.25550	1.25568	292	0	0
2024.05.14	14:45:00	1.25568	1.25568	1.25513	1.25520	236	0	0
2024.05.14	15:00:00	1.25520	1.25591	1.25513	1.25584	417	0	0
2024.05.14	15:15:00	1.25584	1.25603	1.25548	1.25549	382	0	0
2024.05.14	15:30:00	1.25514	1.25625	1.25199	1.25592	1411	0	0
2024.05.14	15:45:00	1.25589	1.25648	1.25512	1.25533	973	0	0
2024.05.14	16:00:00	1.25530	1.25801	1.25488	1.25763	1064	0	0
2024.05.14	16:15:00	1.25768	1.25789	1.25693	1.25723	800	0	0
2024.05.14	16:30:00	1.25724	1.25760	1.25668	1.25724	690	0	0
2024.05.14	16:45:00	1.25729	1.25843	1.25717	1.25836	631	0	0
2024.05.14	17:00:00	1.25830	1.25842	1.25753	1.25768	590	0	0
2024.05.14	17:15:00	1.25768	1.25782	1.25691	1.25697	752	0	0
2024.05.14	17:30:00	1.25697	1.25774	1.25681	1.25764	625	0	0
2024.05.14	17:45:00	1.25765	1.25916	1.25753	1.25885	754	0	0
2024.05.14	18:00:00	1.25884	1.25884	1.25800	1.25838	590	0	0
2024.05.14	18:15:00	1.25841	1.25863	1.25798	1.25823	585	0	0
2024.05.14	18:30:00	1.25832	1.25885	1.25820	1.25881	533	0	0
2024.05.14	18:45:00	1.25884	1.25928	1.25863	1.25879	435	0	0
2024.05.14	19:00:00	1.25881	1.25881	1.25823	1.25865	397	0	0
2024.05.14	19:15:00	1.25862	1.25867	1.25809	1.25833	326	0	0
2024.05.14	19:30:00	1.25833	1.25891	1.25829	1.25853	376	0	0
2024.05.14	19:45:00	1.25854	1.25876	1.25831	1.25851	350	0	0
2024.05.14	20:00:00	1.25851	1.25867	1.25827	1.25849	362	0	0
2024.05.14	20:15:00	1.25849	1.25853	1.25810	1.25841	229	0	0
2024.05.14	20:30:00	1.25841	1.25848	1.25817	1.25832	294	0	2
2024.05.14	20:45:00	1.25834	1.25856	1.25827	1.25847	265	0	4
2024.05.14	21:00:00	1.25847	1.25907	1.25847	1.25899	353	0	1
2024.05.14	21:15:00	1.25899	1.25909	1.25886	1.25896	174	0	1
2024.05.14	21:30:00	1.25896	1.25913	1.25877	1.25901	416	0	3
2024.05.14	21:45:00	1.25901	1.25909	1.25879	1.25887	324	0	4
2024.05.14	22:00:00	1.25886	1.25912	1.25886	1.25911	307	0	3
2024.05.14	22:15:00	1.25911	1.25919	1.25895	1.25916	287	0	5
2024.05.14	22:30:00	1.25916	1.25917	1.25896	1.25911	239	0	4
2024.05.14	22:45:00	1.25911	1.25918	1.25896	1.25897	249	0	3
2024.05.14	23:00:00	1.25897	1.25913	1.25886	1.25889	118	0	6
2024.05.14	23:15:00	1.25889	1.25896	1.25886	1.25891	65	0	8
2024.05.14	23:30:00	1.25891	1.25902	1.25885	1.25885	95	0	12
2024.05.14	23:45:00	1.25883	1.25926	1.25883	1.25909	173	0	0
2024.05.15	00:00:00	1.25886	1.25904	1.25737	1.25835	62	0	15
2024.05.15	00:15:00	1.25835	1.25885	1.25803	1.25883	72	0	44
2024.05.15	00:30:00	1.25884	1.25892	1.25865	1.25865	76	0	20
2024.05.15	00:45:00	1.25865	1.25891	1.25855	1.25881	58	0	40
2024.05.15	01:00:00	1.25882	1.25900	1.25874	1.25876	62	0	15
2024.05.15	01:15:00	1.25875	1.25889	1.25870	1.25886	112	0	14
2024.05.15	01:30:00	1.25885	1.25896	1.25884	1.25889	177	0	12
2024.05.15	01:45:00	1.25889	1.25891	1.25883	1.25884	123	0	13
2024.05.15	02:00:00	1.25883	1.25886	1.25876	1.25876	55	0	7
2024.05.15	02:15:00	1.25876	1.25879	1.25860	1.25877	40	0	6
2024.05.15	02:30:00	1.25877	1.25878	1.25856	1.25856	183	0	5
2024.05.15	02:45:00	1.25856	1.25862	1.25836	1.25836	176	0	5
2024.05.15	03:00:00	1.25837	1.25881	1.25835	1.25865	273	0	3
2024.05.15	03:15:00	1.25865	1.25895	1.25865	1.25866	100	0	5
2024.05.15	03:30:00	1.25866	1.25895	1.25857	1.25864	189	0	5
2024.05.15	03:45:00	1.25862	1.25888	1.25860	1.25880	247	0	3
2024.05.15	04:00:00	1.25880	1.25897	1.25875	1.25880	172	0	4
2024.05.15	04:15:00	1.25880	1.25908	1.25873	1.25902	243	0	4
2024.05.15	04:30:00	1.25902	1.25919	1.25881	1.25906	244	0	2
2024.05.15	04:45:00	1.25906	1.25925	1.25895	1.25922	262	0	3
2024.05.15	05:00:00	1.25924	1.25944	1.25916	1.25916	260	0	2
2024.05.15	05:15:00	1.25916	1.25918	1.25886	1.25907	129	0	2
2024.05.15	05:30:00	1.25907	1.25959	1.25906	1.25950	270	0	3
2024.05.15	05:45:00	1.25954	1.25954	1.25926	1.25947	156	0	5
2024.05.15	06:00:00	1.25947	1.25973	1.25945	1.25971	154	0	3
2024.05.15	06:15:00	1.25971	1.25986	1.25967	1.25983	149	0	6
2024.05.15	06:30:00	1.25984	1.25991	1.25963	1.25975	184	0	5
2024.05.15	06:45:00	1.25975	1.25990	1.25969	1.25977	121	0	6
2024.05.15	07:00:00	1.25977	1.25980	1.25957	1.25963	141	0	2
2024.05.15	07:15:00	1.25964	1.25967	1.25948	1.25952	140	0	2
2024.05.15	07:30:00	1.25951	1.25952	1.25917	1.25931	214	0	1
2024.05.15	07:45:00	1.25931	1.25933	1.25918	1.25931	124	0	2
2024.05.15	08:00:00	1.25930	1.25964	1.25917	1.25953	248	0	1
2024.05.15	08:15:00	1.25952	1.25955	1.25929	1.25934	276	0	2
2024.05.15	08:30:00	1.25934	1.25948	1.25921	1.25941	233	0	2
2024.05.15	08:45:00	1.25941	1.25982	1.25934	1.25977	202	0	1
2024.05.15	09:00:00	1.25982	1.26000	1.25951	1.25951	330	0	0
2024.05.15	09:15:00	1.25950	1.25950	1.25909	1.25922	421	0	0
2024.05.15	09:30:00	1.25922	1.25923	1.25868	1.25878	439	0	0
2024.05.15	09:45:00	1.25879	1.25941	1.25878	1.25932	288	0	0
2024.05.15	10:00:00	1.25931	1.26000	1.25918	1.25964	420	0	0
2024.05.15	10:15:00	1.25968	1.25972	1.25915	1.25939	436	0	0
2024.05.15	10:30:00	1.25939	1.26001	1.25939	1.25984	351	0	0
2024.05.15	10:45:00	1.25984	1.25984	1.25928	1.25946	333	0	0
2024.05.15	11:00:00	1.25942	1.25989	1.25942	1.25981	381	0	0
2024.05.15	11:15:00	1.25981	1.26068	1.25981	1.26063	392	0	0
2024.05.15	11:30:00	1.26063	1.26094	1.26034	1.26063	330	0	0
2024.05.15	11:45:00	1.26063	1.26139	1.26042	1.26123	357	0	0
2024.05.15	12:00:00	1.26123	1.26161	1.26094	1.26146	415	0	0
2024.05.15	12:15:00	1.26146	1.26176	1.26112	1.26159	383	0	0
2024.05.15	12:30:00	1.26163	1.26213	1.26158	1.26206	324	0	0
2024.05.15	12:45:00	1.26205	1.26247	1.26203	1.26243	352	0	0
2024.05.15	13:00:00	1.26243	1.26243	1.26192	1.26204	230	0	0
2024.05.15	13:15:00	1.26204	1.26233	1.26154	1.26163	244	0	0
2024.05.15	13:30:00	1.26163	1.26168	1.26102	1.26113	194	0	0
2024.05.15	13:45:00	1.26113	1.26131	1.26044	1.26062	466	0	0
2024.05.15	14:00:00	1.26063	1.26106	1.26030	1.26104	436	0	0
2024.05.15	14:15:00	1.26106	1.26150	1.26087	1.26087	408	0	0
2024.05.15	14:30:00	1.26089	1.26125	1.26063	1.26094	367	0	0
2024.05.15	14:45:00	1.26094	1.26134	1.26063	1.26133	352	0	0
2024.05.15	15:00:00	1.26133	1.26220	1.26121	1.26155	493	0	0
2024.05.15	15:15:00	1.26155	1.26220	1.26138	1.26192	566	0	0
2024.05.15	15:30:00	1.26419	1.26707	1.26294	1.26512	1502	0	0
2024.05.15	15:45:00	1.26507	1.26526	1.26364	1.26448	1245	0	0
2024.05.15	16:00:00	1.26447	1.26600	1.26372	1.26578	1109	0	0
2024.05.15	16:15:00	1.26578	1.26578	1.26395	1.26453	906	0	0
2024.05.15	16:30:00	1.26460	1.26462	1.26307	1.26316	920	0	0
2024.05.15	16:45:00	1.26313	1.26317	1.26143	1.26188	933	0	0
2024.05.15	17:00:00	1.26188	1.26298	1.26150	1.26265	883	0	0
2024.05.15	17:15:00	1.26267	1.26348	1.26233	1.26317	866	0	0
2024.05.15	17:30:00	1.26317	1.26445	1.26305	1.26413	757	0	0
2024.05.15	17:45:00	1.26413	1.26488	1.26360	1.26483	717	0	0
2024.05.15	18:00:00	1.26483	1.26603	1.26473	1.26600	676	0	0
2024.05.15	18:15:00	1.26600	1.26688	1.26560	1.26680	654	0	0
2024.05.15	18:30:00	1.26679	1.26728	1.26619	1.26643	488	0	0
2024.05.15	18:45:00	1.26643	1.26662	1.26540	1.26555	520	0	0
2024.05.15	19:00:00	1.26557	1.26615	1.26493	1.26590	534	0	0
2024.05.15	19:15:00	1.26590	1.26674	1.26552	1.26663	557	0	0
2024.05.15	19:30:00	1.26664	1.26769	1.26659	1.26749	559	0	0
2024.05.15	19:45:00	1.26749	1.26756	1.26715	1.26742	568	0	0
2024.05.15	20:00:00	1.26742	1.26801	1.26719	1.26800	425	0	2
2024.05.15	20:15:00	1.26800	1.26801	1.26716	1.26764	494	0	1
2024.05.15	20:30:00	1.26763	1.26809	1.26738	1.26772	413	0	3
2024.05.15	20:45:00	1.26772	1.26830	1.26757	1.26821	302	0	0
2024.05.15	21:00:00	1.26821	1.26835	1.26787	1.26788	336	0	3
2024.05.15	21:15:00	1.26787	1.26789	1.26721	1.26761	353	0	4
2024.05.15	21:30:00	1.26760	1.26771	1.26723	1.26751	381	0	3
2024.05.15	21:45:00	1.26752	1.26799	1.26736	1.26797	474	0	3
2024.05.15	22:00:00	1.26796	1.26811	1.26786	1.26796	229	0	3
2024.05.15	22:15:00	1.26796	1.26809	1.26778	1.26778	217	0	4
2024.05.15	22:30:00	1.26778	1.26790	1.26762	1.26786	255	0	5
2024.05.15	22:45:00	1.26786	1.26833	1.26786	1.26820	342	0	3
2024.05.15	23:00:00	1.26819	1.26836	1.26813	1.26820	124	0	7
2024.05.15	23:15:00	1.26820	1.26856	1.26819	1.26840	133	0	9
2024.05.15	23:30:00	1.26839	1.26848	1.26816	1.26823	116	0	12
2024.05.15	23:45:00	1.26823	1.26861	1.26823	1.26848	194	0	4
2024.05.16	00:00:00	1.26844	1.26844	1.26708	1.26778	52	0	33
2024.05.16	00:15:00	1.26764	1.26834	1.26754	1.26822	94	0	28
2024.05.16	00:30:00	1.26823	1.26831	1.26812	1.26822	55	0	23
2024.05.16	00:45:00	1.26822	1.26824	1.26794	1.26820	69	0	38
2024.05.16	01:00:00	1.26820	1.26901	1.26818	1.26878	117	0	9
2024.05.16	01:15:00	1.26878	1.26879	1.26864	1.26877	87	0	11
2024.05.16	01:30:00	1.26877	1.26887	1.26869	1.26887	121	0	13
2024.05.16	01:45:00	1.26888	1.26891	1.26878	1.26880	133	0	11
2024.05.16	02:00:00	1.26884	1.26889	1.26859	1.26881	77	0	4
2024.05.16	02:15:00	1.26881	1.26905	1.26878	1.26899	167	0	4
2024.05.16	02:30:00	1.26899	1.26929	1.26892	1.26898	206	0	4
2024.05.16	02:45:00	1.26898	1.26940	1.26882	1.26882	298	0	3
2024.05.16	03:00:00	1.26888	1.26902	1.26848	1.26901	420	0	2
2024.05.16	03:15:00	1.26901	1.26942	1.26881	1.26932	401	0	3
2024.05.16	03:30:00	1.26931	1.26948	1.26922	1.26943	472	0	2
2024.05.16	03:45:00	1.26943	1.27004	1.26938	1.26992	306	0	2
2024.05.16	04:00:00	1.26990	1.26991	1.26867	1.26913	441	0	3
2024.05.16	04:15:00	1.26912	1.26980	1.26908	1.26948	403	0	5
2024.05.16	04:30:00	1.26948	1.26963	1.26908	1.26920	515	0	4
2024.05.16	04:45:00	1.26920	1.26924	1.26858	1.26881	530	0	5
2024.05.16	05:00:00	1.26880	1.26880	1.26834	1.26849	461	0	5
2024.05.16	05:15:00	1.26848	1.26898	1.26828	1.26890	355	0	4
2024.05.16	05:30:00	1.26891	1.26931	1.26882	1.26902	329	0	3
2024.05.16	05:45:00	1.26898	1.26921	1.26897	1.26902	269	0	4
2024.05.16	06:00:00	1.26902	1.26912	1.26871	1.26880	321	0	4
2024.05.16	06:15:00	1.26880	1.26915	1.26878	1.26911	317	0	4
2024.05.16	06:30:00	1.26910	1.26950	1.26902	1.26936	364	0	1
2024.05.16	06:45:00	1.26936	1.26936	1.26907	1.26920	265	0	1
2024.05.16	07:00:00	1.26920	1.26921	1.26878	1.26878	275	0	0
2024.05.16	07:15:00	1.26880	1.26901	1.26877	1.26896	208	0	0
2024.05.16	07:30:00	1.26896	1.26912	1.26884	1.26907	309	0	0
2024.05.16	07:45:00	1.26908	1.26911	1.26876	1.26877	246	0	0
2024.05.16	08:00:00	1.26876	1.26889	1.26845	1.26848	282	0	0
2024.05.16	08:15:00	1.26851	1.26864	1.26824	1.26852	203	0	0
2024.05.16	08:30:00	1.26854	1.26865	1.26842	1.26851	196	0	0
2024.05.16	08:45:00	1.26849	1.26853	1.26818	1.26828	177	0	0
2024.05.16	09:00:00	1.26827	1.26846	1.26776	1.26777	526	0	0
2024.05.16	09:15:00	1.26777	1.26801	1.26773	1.26781	382	0	0
2024.05.16	09:30:00	1.26780	1.26780	1.26744	1.26761	387	0	0
2024.05.16	09:45:00	1.26761	1.26784	1.26744	1.26769	380	0	0
2024.05.16	10:00:00	1.26770	1.26817	1.26749	1.26800	547	0	0
2024.05.16	10:15:00	1.26800	1.26863	1.26791	1.26854	467	0	0
2024.05.16	10:30:00	1.26855	1.26856	1.26756	1.26786	461	0	0
2024.05.16	10:45:00	1.26785	1.26826	1.26771	1.26800	448	0	0
2024.05.16	11:00:00	1.26797	1.26830	1.26744	1.26761	367	0	0
2024.05.16	11:15:00	1.26757	1.26773	1.26702	1.26737	489	0	0
2024.05.16	11:30:00	1.26737	1.26762	1.26700	1.26711	419	0	0
2024.05.16	11:45:00	1.26711	1.26747	1.26694	1.26741	406	0	0
2024.05.16	12:00:00	1.26742	1.26750	1.26719	1.26739	321	0	0
2024.05.16	12:15:00	1.26740	1.26752	1.26672	1.26672	275	0	0
2024.05.16	12:30:00	1.26671	1.26714	1.26662	1.26692	321	0	0
2024.05.16	12:45:00	1.26692	1.26734	1.26686	1.26687	304	0	0
2024.05.16	13:00:00	1.26685	1.26713	1.26671	1.26711	247	0	0
2024.05.16	13:15:00	1.26711	1.26726	1.26684	1.26690	200	0	0
2024.05.16	13:30:00	1.26691	1.26713	1.26664	1.26713	303	0	0
2024.05.16	13:45:00	1.26712	1.26737	1.26685	1.26695	297	0	0
2024.05.16	14:00:00	1.26694	1.26754	1.26678	1.26734	336	0	0
2024.05.16	14:15:00	1.26734	1.26751	1.26626	1.26641	339	0	0
2024.05.16	14:30:00	1.26637	1.26637	1.26549	1.26606	553	0	0
2024.05.16	14:45:00	1.26607	1.26622	1.26543	1.26562	450	0	0
2024.05.16	15:00:00	1.26563	1.26595	1.26546	1.26588	499	0	0
2024.05.16	15:15:00	1.26588	1.26638	1.26578	1.26603	429	0	0
2024.05.16	15:30:00	1.26606	1.26694	1.26535	1.26614	1036	0	0
2024.05.16	15:45:00	1.26614	1.26620	1.26520	1.26546	781	0	0
2024.05.16	16:00:00	1.26542	1.26568	1.26465	1.26545	734	0	0
2024.05.16	16:15:00	1.26554	1.26589	1.26503	1.26586	600	0	0
2024.05.16	16:30:00	1.26587	1.26603	1.26443	1.26452	763	0	0
2024.05.16	16:45:00	1.26453	1.26515	1.26450	1.26484	634	0	0
2024.05.16	17:00:00	1.26484	1.26526	1.26435	1.26523	613	0	0
2024.05.16	17:15:00	1.26524	1.26613	1.26522	1.26608	448	0	0
2024.05.16	17:30:00	1.26609	1.26657	1.26599	1.26622	557	0	0
2024.05.16	17:45:00	1.26623	1.26689	1.26605	1.26679	768	0	0
2024.05.16	18:00:00	1.26680	1.26707	1.26664	1.26682	533	0	0
2024.05.16	18:15:00	1.26681	1.26722	1.26678	1.26710	420	0	0
2024.05.16	18:30:00	1.26710	1.26752	1.26710	1.26749	332	0	0
2024.05.16	18:45:00	1.26750	1.26802	1.26738	1.26798	291	0	0
2024.05.16	19:00:00	1.26797	1.26797	1.26726	1.26785	391	0	0
2024.05.16	19:15:00	1.26785	1.26788	1.26744	1.26747	280	0	0
2024.05.16	19:30:00	1.26746	1.26755	1.26718	1.26754	376	0	0
2024.05.16	19:45:00	1.26754	1.26757	1.26724	1.26730	258	0	0
2024.05.16	20:00:00	1.26730	1.26748	1.26714	1.26740	234	0	0
2024.05.16	20:15:00	1.26741	1.26765	1.26689	1.26705	399	0	0
2024.05.16	20:30:00	1.26707	1.26725	1.26696	1.26712	271	0	2
2024.05.16	20:45:00	1.26712	1.26746	1.26699	1.26745	251	0	2
2024.05.16	21:00:00	1.26745	1.26760	1.26686	1.26688	327	0	4
2024.05.16	21:15:00	1.26685	1.26720	1.26669	1.26710	368	0	0
2024.05.16	21:30:00	1.26710	1.26739	1.26708	1.26720	387	0	3
2024.05.16	21:45:00	1.26720	1.26755	1.26718	1.26752	347	0	4
2024.05.16	22:00:00	1.26750	1.26750	1.26718	1.26729	200	0	4
2024.05.16	22:15:00	1.26729	1.26729	1.26699	1.26701	231	0	4
2024.05.16	22:30:00	1.26700	1.26702	1.26682	1.26691	265	0	4
2024.05.16	22:45:00	1.26692	1.26703	1.26682	1.26689	269	0	4
2024.05.16	23:00:00	1.26688	1.26695	1.26679	1.26684	173	0	4
2024.05.16	23:15:00	1.26684	1.26693	1.26680	1.26693	130	0	7
2024.05.16	23:30:00	1.26694	1.26704	1.26690	1.26692	226	0	5
2024.05.16	23:45:00	1.26693	1.26704	1.26656	1.26686	140	0	0
2024.05.17	00:00:00	1.26688	1.26702	1.26618	1.26682	78	0	15
2024.05.17	00:15:00	1.26700	1.26713	1.26672	1.26679	54	0	11
2024.05.17	00:30:00	1.26679	1.26684	1.26672	1.26681	37	0	27
2024.05.17	00:45:00	1.26681	1.26690	1.26681	1.26688	55	0	27
2024.05.17	01:00:00	1.26692	1.26712	1.26685	1.26708	73	0	16
2024.05.17	01:15:00	1.26709	1.26712	1.26707	1.26708	54	0	11
2024.05.17	01:30:00	1.26708	1.26710	1.26687	1.26689	99	0	11
2024.05.17	01:45:00	1.26689	1.26718	1.26689	1.26701	167	0	11
2024.05.17	02:00:00	1.26702	1.26717	1.26690	1.26710	101	0	4
2024.05.17	02:15:00	1.26710	1.26721	1.26705	1.26705	87	0	4
2024.05.17	02:30:00	1.26705	1.26718	1.26702	1.26703	199	0	0
2024.05.17	02:45:00	1.26706	1.26716	1.26702	1.26710	118	0	1
2024.05.17	03:00:00	1.26710	1.26722	1.26670	1.26670	268	0	4
2024.05.17	03:15:00	1.26671	1.26672	1.26641	1.26645	246	0	0
2024.05.17	03:30:00	1.26644	1.26649	1.26626	1.26637	316	0	4
2024.05.17	03:45:00	1.26637	1.26667	1.26611	1.26641	334	0	1
2024.05.17	04:00:00	1.26641	1.26646	1.26574	1.26590	254	0	0
2024.05.17	04:15:00	1.26590	1.26592	1.26540	1.26573	338	0	3
2024.05.17	04:30:00	1.26572	1.26624	1.26570	1.26624	465	0	3
2024.05.17	04:45:00	1.26625	1.26630	1.26578	1.26579	421	0	4
2024.05.17	05:00:00	1.26579	1.26592	1.26542	1.26570	389	0	3
2024.05.17	05:15:00	1.26570	1.26572	1.26550	1.26553	309	0	4
2024.05.17	05:30:00	1.26553	1.26553	1.26518	1.26531	261	0	3
2024.05.17	05:45:00	1.26531	1.26559	1.26520	1.26557	258	0	2
2024.05.17	06:00:00	1.26557	1.26580	1.26550	1.26560	270	0	2
