<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	1.25552	1.25928	1.25091	1.25909	33320	0	0
2024.05.15	1.25886	1.26861	1.25737	1.26848	34817	0	0
2024.05.16	1.26844	1.27004	1.26435	1.26686	33727	0	0
2024.05.17	1.26688	1.27115	1.26450	1.27001	28396	0	0
2024.05.20	1.26860	1.27251	1.26847	1.27055	29431	0	0
2024.05.21	1.27031	1.27268	1.26864	1.27082	30990	0	0
2024.05.22	1.27070	1.27613	1.27002	1.27160	37631	0	0
2024.05.23	1.27159	1.27466	1.26852	1.26973	42225	0	0
2024.05.24	1.26968	1.27508	1.26716	1.27364	35708	0	0
2024.05.27	1.27340	1.27776	1.27269	1.27679	18160	0	0
2024.05.28	1.27683	1.28006	1.27540	1.27607	33604	0	0
2024.05.29	1.27609	1.27715	1.26985	1.27003	38855	0	0
2024.05.30	1.26985	1.27471	1.26811	1.27316	37689	0	0
2024.05.31	1.27291	1.27660	1.27002	1.27407	42295	0	0
2024.06.03	1.27335	1.28080	1.26946	1.28070	40447	0	0
2024.06.04	1.28068	1.28172	1.27430	1.27699	42309	0	0
2024.06.05	1.27711	1.27949	1.27415	1.27857	36507	0	0
2024.06.06	1.27851	1.28089	1.27627	1.27894	34299	0	0
2024.06.07	1.27836	1.28115	1.27149	1.27149	40595	0	0
2024.06.10	1.27267	1.27369	1.26882	1.27301	34978	0	0
2024.06.11	1.27302	1.27511	1.27048	1.27397	36815	0	0
2024.06.12	1.27379	1.28605	1.27266	1.27976	43457	0	0
2024.06.13	1.27976	1.28076	1.27386	1.27617	40397	0	0
2024.06.14	1.27596	1.27632	1.26568	1.26852	44303	0	0
2024.06.17	1.26823	1.27093	1.26588	1.27043	36878	0	0
2024.06.18	1.27011	1.27210	1.26688	1.27082	38917	0	0
2024.06.19	1.27074	1.27399	1.26885	1.27166	25892	0	0
2024.06.20	1.27169	1.27225	1.26547	1.26565	35309	0	0
2024.06.21	1.26565	1.26731	1.26224	1.26405	35361	0	0
2024.06.24	1.26410	1.26978	1.26295	1.26828	33192	0	0
2024.06.25	1.26829	1.27025	1.26660	1.26844	31138	0	0
2024.06.26	1.26856	1.26937	1.26155	1.26214	36636	0	0
2024.06.27	1.26175	1.26704	1.26125	1.26388	36048	0	0
2024.06.28	1.26365	1.26626	1.26196	1.26442	41019	0	0
2024.07.01	1.26510	1.27092	1.26332	1.26495	38683	0	0
2024.07.02	1.26464	1.26526	1.26154	1.26324	11713	0	0
2024.07.03	1.26841	1.27770	1.26663	1.27410	29831	0	0
2024.07.04	1.27455	1.27674	1.27299	1.27575	21282	0	0
2024.07.05	1.27585	1.28170	1.27522	1.28135	34330	0	0
2024.07.08	1.27960	1.28455	1.27839	1.28059	30884	0	0
2024.07.09	1.28042	1.28253	1.27779	1.27854	30964	0	0
2024.07.10	1.27833	1.28488	1.27788	1.28477	28542	0	0
2024.07.11	1.28476	1.29487	1.28454	1.29137	37694	0	0
2024.07.12	1.29130	1.29905	1.29021	1.29875	38505	0	0
2024.07.15	1.29636	1.29946	1.29615	1.29666	36238	0	0
2024.07.16	1.29670	1.29798	1.29383	1.29724	34429	0	0
2024.07.17	1.29727	1.30440	1.29603	1.30085	40207	0	0
2024.07.18	1.30081	1.30126	1.29404	1.29429	41129	0	0
2024.07.19	1.29417	1.29510	1.29011	1.29112	36620	0	0
2024.07.22	1.29190	1.29420	1.29047	1.29320	34784	0	0
2024.07.23	1.29313	1.29349	1.28880	1.29067	33167	0	0
2024.07.24	1.29062	1.29373	1.28777	1.29061	35599	0	0
2024.07.25	1.29053	1.29137	1.28491	1.28505	45960	0	0
2024.07.26	1.28486	1.28779	1.28470	1.28638	32943	0	0
2024.07.29	1.28590	1.28881	1.28068	1.28611	32618	0	0
2024.07.30	1.28582	1.28660	1.28200	1.28345	33281	0	0
2024.07.31	1.28338	1.28641	1.28203	1.28550	48893	0	0
2024.08.01	1.28545	1.28627	1.27267	1.27366	46883	0	0
2024.08.02	1.27391	1.28399	1.27072	1.28036	52430	0	0
2024.08.05	1.28006	1.28166	1.27104	1.27732	78718	0	0
2024.08.06	1.27737	1.28031	1.26728	1.26906	65914	0	0
2024.08.07	1.26906	1.27355	1.26628	1.26897	55260	0	0
2024.08.08	1.26852	1.27523	1.26648	1.27479	47906	0	0
2024.08.09	1.27455	1.27734	1.27260	1.27569	39362	0	0
2024.08.12	1.27650	1.27935	1.27468	1.27649	32803	0	2
2024.08.13	1.27648	1.28726	1.27580	1.28606	36636	0	2
2024.08.14	1.28619	1.28682	1.28147	1.28292	37339	0	2
2024.08.15	1.28283	1.28711	1.27987	1.28525	33411	0	2
2024.08.16	1.28537	1.29457	1.28423	1.29425	29727	0	3
2024.08.19	1.29405	1.29968	1.29204	1.29883	32367	0	2
2024.08.20	1.29835	1.30522	1.29740	1.30322	33695	0	2
2024.08.21	1.30323	1.30379	1.30238	1.30275	4541	0	3
