<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	1.25552	1.25585	1.25531	1.25575	386	0	16
2024.05.14	01:00:00	1.25575	1.25604	1.25564	1.25574	238	0	0
2024.05.14	02:00:00	1.25574	1.25619	1.25567	1.25596	190	0	5
2024.05.14	03:00:00	1.25596	1.25604	1.25531	1.25570	1024	0	2
2024.05.14	04:00:00	1.25570	1.25592	1.25528	1.25560	1353	0	3
2024.05.14	05:00:00	1.25560	1.25568	1.25537	1.25565	924	0	2
2024.05.14	06:00:00	1.25567	1.25591	1.25546	1.25588	1194	0	2
2024.05.14	07:00:00	1.25590	1.25596	1.25530	1.25540	694	0	0
2024.05.14	08:00:00	1.25540	1.25573	1.25518	1.25528	735	0	0
2024.05.14	09:00:00	1.25529	1.25633	1.25475	1.25586	1590	0	0
2024.05.14	10:00:00	1.25586	1.25593	1.25461	1.25519	1541	0	0
2024.05.14	11:00:00	1.25519	1.25532	1.25091	1.25285	2427	0	0
2024.05.14	12:00:00	1.25285	1.25445	1.25262	1.25434	1812	0	0
2024.05.14	13:00:00	1.25435	1.25578	1.25434	1.25541	1293	0	0
2024.05.14	14:00:00	1.25542	1.25590	1.25513	1.25520	1288	0	0
2024.05.14	15:00:00	1.25520	1.25648	1.25199	1.25533	3183	0	0
2024.05.14	16:00:00	1.25530	1.25843	1.25488	1.25836	3185	0	0
2024.05.14	17:00:00	1.25830	1.25916	1.25681	1.25885	2721	0	0
2024.05.14	18:00:00	1.25884	1.25928	1.25798	1.25879	2143	0	0
2024.05.14	19:00:00	1.25881	1.25891	1.25809	1.25851	1449	0	0
2024.05.14	20:00:00	1.25851	1.25867	1.25810	1.25847	1150	0	0
2024.05.14	21:00:00	1.25847	1.25913	1.25847	1.25887	1267	0	1
2024.05.14	22:00:00	1.25886	1.25919	1.25886	1.25897	1082	0	3
2024.05.14	23:00:00	1.25897	1.25926	1.25883	1.25909	451	0	0
2024.05.15	00:00:00	1.25886	1.25904	1.25737	1.25881	268	0	15
2024.05.15	01:00:00	1.25882	1.25900	1.25870	1.25884	474	0	12
2024.05.15	02:00:00	1.25883	1.25886	1.25836	1.25836	454	0	5
2024.05.15	03:00:00	1.25837	1.25895	1.25835	1.25880	809	0	3
2024.05.15	04:00:00	1.25880	1.25925	1.25873	1.25922	921	0	2
2024.05.15	05:00:00	1.25924	1.25959	1.25886	1.25947	815	0	2
2024.05.15	06:00:00	1.25947	1.25991	1.25945	1.25977	608	0	3
2024.05.15	07:00:00	1.25977	1.25980	1.25917	1.25931	619	0	1
2024.05.15	08:00:00	1.25930	1.25982	1.25917	1.25977	959	0	1
2024.05.15	09:00:00	1.25982	1.26000	1.25868	1.25932	1478	0	0
2024.05.15	10:00:00	1.25931	1.26001	1.25915	1.25946	1540	0	0
2024.05.15	11:00:00	1.25942	1.26139	1.25942	1.26123	1460	0	0
2024.05.15	12:00:00	1.26123	1.26247	1.26094	1.26243	1474	0	0
2024.05.15	13:00:00	1.26243	1.26243	1.26044	1.26062	1134	0	0
2024.05.15	14:00:00	1.26063	1.26150	1.26030	1.26133	1563	0	0
2024.05.15	15:00:00	1.26133	1.26707	1.26121	1.26448	3806	0	0
2024.05.15	16:00:00	1.26447	1.26600	1.26143	1.26188	3868	0	0
2024.05.15	17:00:00	1.26188	1.26488	1.26150	1.26483	3223	0	0
2024.05.15	18:00:00	1.26483	1.26728	1.26473	1.26555	2338	0	0
2024.05.15	19:00:00	1.26557	1.26769	1.26493	1.26742	2218	0	0
2024.05.15	20:00:00	1.26742	1.26830	1.26716	1.26821	1634	0	0
2024.05.15	21:00:00	1.26821	1.26835	1.26721	1.26797	1544	0	3
2024.05.15	22:00:00	1.26796	1.26833	1.26762	1.26820	1043	0	3
2024.05.15	23:00:00	1.26819	1.26861	1.26813	1.26848	567	0	4
2024.05.16	00:00:00	1.26844	1.26844	1.26708	1.26820	270	0	23
2024.05.16	01:00:00	1.26820	1.26901	1.26818	1.26880	458	0	9
2024.05.16	02:00:00	1.26884	1.26940	1.26859	1.26882	748	0	3
2024.05.16	03:00:00	1.26888	1.27004	1.26848	1.26992	1599	0	2
2024.05.16	04:00:00	1.26990	1.26991	1.26858	1.26881	1889	0	3
2024.05.16	05:00:00	1.26880	1.26931	1.26828	1.26902	1414	0	3
2024.05.16	06:00:00	1.26902	1.26950	1.26871	1.26920	1267	0	1
2024.05.16	07:00:00	1.26920	1.26921	1.26876	1.26877	1038	0	0
2024.05.16	08:00:00	1.26876	1.26889	1.26818	1.26828	858	0	0
2024.05.16	09:00:00	1.26827	1.26846	1.26744	1.26769	1675	0	0
2024.05.16	10:00:00	1.26770	1.26863	1.26749	1.26800	1923	0	0
2024.05.16	11:00:00	1.26797	1.26830	1.26694	1.26741	1681	0	0
2024.05.16	12:00:00	1.26742	1.26752	1.26662	1.26687	1221	0	0
2024.05.16	13:00:00	1.26685	1.26737	1.26664	1.26695	1047	0	0
2024.05.16	14:00:00	1.26694	1.26754	1.26543	1.26562	1678	0	0
2024.05.16	15:00:00	1.26563	1.26694	1.26520	1.26546	2745	0	0
2024.05.16	16:00:00	1.26542	1.26603	1.26443	1.26484	2731	0	0
2024.05.16	17:00:00	1.26484	1.26689	1.26435	1.26679	2386	0	0
2024.05.16	18:00:00	1.26680	1.26802	1.26664	1.26798	1576	0	0
2024.05.16	19:00:00	1.26797	1.26797	1.26718	1.26730	1305	0	0
2024.05.16	20:00:00	1.26730	1.26765	1.26689	1.26745	1155	0	0
2024.05.16	21:00:00	1.26745	1.26760	1.26669	1.26752	1429	0	0
2024.05.16	22:00:00	1.26750	1.26750	1.26682	1.26689	965	0	4
2024.05.16	23:00:00	1.26688	1.26704	1.26656	1.26686	669	0	0
2024.05.17	00:00:00	1.26688	1.26713	1.26618	1.26688	224	0	11
2024.05.17	01:00:00	1.26692	1.26718	1.26685	1.26701	393	0	11
2024.05.17	02:00:00	1.26702	1.26721	1.26690	1.26710	505	0	0
2024.05.17	03:00:00	1.26710	1.26722	1.26611	1.26641	1164	0	0
2024.05.17	04:00:00	1.26641	1.26646	1.26540	1.26579	1478	0	0
2024.05.17	05:00:00	1.26579	1.26592	1.26518	1.26557	1217	0	2
2024.05.17	06:00:00	1.26557	1.26591	1.26550	1.26578	861	0	2
2024.05.17	07:00:00	1.26578	1.26590	1.26548	1.26553	915	0	0
2024.05.17	08:00:00	1.26553	1.26627	1.26543	1.26613	1033	0	0
2024.05.17	09:00:00	1.26608	1.26668	1.26585	1.26634	1464	0	0
2024.05.17	10:00:00	1.26635	1.26696	1.26564	1.26565	1382	0	0
2024.05.17	11:00:00	1.26566	1.26583	1.26450	1.26491	1686	0	0
2024.05.17	12:00:00	1.26490	1.26560	1.26475	1.26552	1058	0	0
2024.05.17	13:00:00	1.26552	1.26566	1.26473	1.26500	1272	0	0
2024.05.17	14:00:00	1.26501	1.26561	1.26456	1.26540	985	0	0
2024.05.17	15:00:00	1.26540	1.26614	1.26515	1.26595	1533	0	0
2024.05.17	16:00:00	1.26595	1.26762	1.26595	1.26756	1994	0	0
2024.05.17	17:00:00	1.26758	1.26993	1.26738	1.26981	2033	0	0
2024.05.17	18:00:00	1.26981	1.27080	1.26935	1.27011	2186	0	0
2024.05.17	19:00:00	1.27012	1.27084	1.26989	1.27010	1286	0	0
2024.05.17	20:00:00	1.27010	1.27115	1.27004	1.27058	1250	0	0
2024.05.17	21:00:00	1.27058	1.27094	1.27011	1.27080	899	0	0
2024.05.17	22:00:00	1.27080	1.27084	1.27029	1.27063	952	0	0
2024.05.17	23:00:00	1.27063	1.27063	1.26988	1.27001	626	0	4
2024.05.20	00:00:00	1.26860	1.26994	1.26847	1.26961	307	0	27
2024.05.20	01:00:00	1.26948	1.27018	1.26948	1.27001	446	0	6
2024.05.20	02:00:00	1.27001	1.27077	1.27000	1.27056	424	0	0
2024.05.20	03:00:00	1.27057	1.27083	1.26968	1.27051	1122	0	0
2024.05.20	04:00:00	1.27051	1.27077	1.27004	1.27058	1999	0	2
2024.05.20	05:00:00	1.27059	1.27060	1.27010	1.27041	1060	0	2
2024.05.20	06:00:00	1.27040	1.27068	1.27009	1.27043	847	0	0
2024.05.20	07:00:00	1.27043	1.27110	1.27039	1.27077	777	0	0
2024.05.20	08:00:00	1.27076	1.27079	1.27033	1.27059	855	0	0
2024.05.20	09:00:00	1.27059	1.27087	1.26986	1.27004	1742	0	0
2024.05.20	10:00:00	1.27005	1.27063	1.26892	1.26943	1820	0	0
2024.05.20	11:00:00	1.26941	1.27070	1.26927	1.27050	1345	0	0
2024.05.20	12:00:00	1.27050	1.27052	1.26990	1.27045	1179	0	0
2024.05.20	13:00:00	1.27045	1.27061	1.26993	1.27022	1217	0	0
2024.05.20	14:00:00	1.27022	1.27042	1.26945	1.26954	1300	0	0
2024.05.20	15:00:00	1.26955	1.27018	1.26924	1.26963	2338	0	0
2024.05.20	16:00:00	1.26960	1.27065	1.26958	1.27039	2350	0	0
2024.05.20	17:00:00	1.27038	1.27120	1.27006	1.27077	2063	0	0
