<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	00:00:00	156.201	156.206	156.011	156.164	796	0	27
2024.05.14	00:15:00	156.144	156.209	156.144	156.209	75	0	39
2024.05.14	00:30:00	156.209	156.213	156.140	156.201	176	0	27
2024.05.14	00:45:00	156.201	156.211	156.185	156.189	125	0	34
2024.05.14	01:00:00	156.188	156.212	156.170	156.181	98	0	6
2024.05.14	01:15:00	156.181	156.197	156.173	156.195	138	0	12
2024.05.14	01:30:00	156.195	156.237	156.191	156.222	171	0	0
2024.05.14	01:45:00	156.222	156.224	156.203	156.223	84	0	9
2024.05.14	02:00:00	156.225	156.238	156.211	156.213	133	0	3
2024.05.14	02:15:00	156.213	156.216	156.181	156.188	102	0	2
2024.05.14	02:30:00	156.191	156.224	156.182	156.205	282	0	1
2024.05.14	02:45:00	156.205	156.236	156.181	156.228	279	0	3
2024.05.14	03:00:00	156.227	156.289	156.224	156.276	444	0	3
2024.05.14	03:15:00	156.276	156.334	156.251	156.333	357	0	3
2024.05.14	03:30:00	156.335	156.394	156.323	156.385	432	0	2
2024.05.14	03:45:00	156.385	156.391	156.291	156.291	573	0	3
2024.05.14	04:00:00	156.291	156.427	156.291	156.427	491	0	4
2024.05.14	04:15:00	156.434	156.455	156.397	156.430	495	0	2
2024.05.14	04:30:00	156.430	156.445	156.422	156.431	322	0	2
2024.05.14	04:45:00	156.431	156.433	156.390	156.419	279	0	3
2024.05.14	05:00:00	156.421	156.493	156.421	156.448	298	0	0
2024.05.14	05:15:00	156.448	156.463	156.421	156.455	206	0	3
2024.05.14	05:30:00	156.455	156.469	156.435	156.443	127	0	4
2024.05.14	05:45:00	156.443	156.448	156.421	156.444	121	0	3
2024.05.14	06:00:00	156.442	156.448	156.422	156.445	186	0	7
2024.05.14	06:15:00	156.446	156.447	156.396	156.408	254	0	6
2024.05.14	06:30:00	156.408	156.410	156.374	156.393	146	0	4
2024.05.14	06:45:00	156.397	156.434	156.392	156.411	170	0	1
2024.05.14	07:00:00	156.417	156.434	156.406	156.418	108	0	2
2024.05.14	07:15:00	156.418	156.422	156.406	156.411	74	0	3
2024.05.14	07:30:00	156.411	156.422	156.376	156.380	182	0	2
2024.05.14	07:45:00	156.380	156.409	156.374	156.408	109	0	2
2024.05.14	08:00:00	156.408	156.425	156.404	156.408	278	0	1
2024.05.14	08:15:00	156.408	156.426	156.393	156.409	118	0	3
2024.05.14	08:30:00	156.409	156.447	156.398	156.445	171	0	1
2024.05.14	08:45:00	156.446	156.446	156.402	156.419	252	0	2
2024.05.14	09:00:00	156.418	156.539	156.407	156.507	439	0	1
2024.05.14	09:15:00	156.507	156.510	156.464	156.502	276	0	0
2024.05.14	09:30:00	156.503	156.505	156.445	156.472	550	0	1
2024.05.14	09:45:00	156.472	156.474	156.428	156.449	449	0	2
2024.05.14	10:00:00	156.450	156.475	156.424	156.458	436	0	1
2024.05.14	10:15:00	156.458	156.506	156.448	156.501	391	0	0
2024.05.14	10:30:00	156.501	156.503	156.441	156.460	236	0	2
2024.05.14	10:45:00	156.460	156.492	156.434	156.460	273	0	0
2024.05.14	11:00:00	156.460	156.491	156.439	156.455	394	0	1
2024.05.14	11:15:00	156.455	156.468	156.410	156.445	332	0	1
2024.05.14	11:30:00	156.446	156.481	156.438	156.466	307	0	0
2024.05.14	11:45:00	156.461	156.470	156.428	156.453	272	0	0
2024.05.14	12:00:00	156.453	156.468	156.420	156.442	320	0	3
2024.05.14	12:15:00	156.442	156.442	156.285	156.285	332	0	2
2024.05.14	12:30:00	156.286	156.353	156.286	156.348	399	0	0
2024.05.14	12:45:00	156.349	156.375	156.334	156.350	318	0	2
2024.05.14	13:00:00	156.350	156.411	156.344	156.374	335	0	2
2024.05.14	13:15:00	156.374	156.390	156.356	156.370	223	0	2
2024.05.14	13:30:00	156.370	156.414	156.369	156.403	213	0	0
2024.05.14	13:45:00	156.406	156.433	156.403	156.427	279	0	3
2024.05.14	14:00:00	156.427	156.457	156.405	156.439	182	0	2
2024.05.14	14:15:00	156.440	156.456	156.437	156.455	132	0	0
2024.05.14	14:30:00	156.455	156.464	156.429	156.440	184	0	0
2024.05.14	14:45:00	156.440	156.455	156.429	156.451	182	0	2
2024.05.14	15:00:00	156.446	156.456	156.404	156.428	323	0	3
2024.05.14	15:15:00	156.428	156.444	156.420	156.441	283	0	3
2024.05.14	15:30:00	156.441	156.790	156.441	156.533	1206	0	0
2024.05.14	15:45:00	156.531	156.611	156.505	156.579	951	0	0
2024.05.14	16:00:00	156.580	156.653	156.352	156.386	967	0	2
2024.05.14	16:15:00	156.386	156.412	156.227	156.403	936	0	0
2024.05.14	16:30:00	156.408	156.448	156.387	156.437	759	0	3
2024.05.14	16:45:00	156.438	156.481	156.324	156.348	672	0	3
2024.05.14	17:00:00	156.350	156.448	156.333	156.433	602	0	3
2024.05.14	17:15:00	156.433	156.516	156.428	156.501	582	0	2
2024.05.14	17:30:00	156.501	156.501	156.354	156.395	532	0	2
2024.05.14	17:45:00	156.395	156.419	156.279	156.392	609	0	1
2024.05.14	18:00:00	156.391	156.442	156.383	156.392	497	0	1
2024.05.14	18:15:00	156.391	156.443	156.373	156.418	410	0	3
2024.05.14	18:30:00	156.418	156.512	156.415	156.495	450	0	0
2024.05.14	18:45:00	156.495	156.505	156.448	156.504	384	0	2
2024.05.14	19:00:00	156.504	156.541	156.483	156.484	290	0	0
2024.05.14	19:15:00	156.483	156.538	156.480	156.511	372	0	3
2024.05.14	19:30:00	156.512	156.526	156.452	156.468	382	0	3
2024.05.14	19:45:00	156.469	156.523	156.457	156.481	416	0	3
2024.05.14	20:00:00	156.474	156.481	156.423	156.477	340	0	3
2024.05.14	20:15:00	156.477	156.506	156.477	156.481	226	0	4
2024.05.14	20:30:00	156.481	156.483	156.458	156.478	198	0	5
2024.05.14	20:45:00	156.478	156.513	156.470	156.501	225	0	3
2024.05.14	21:00:00	156.501	156.505	156.464	156.465	190	0	1
2024.05.14	21:15:00	156.465	156.467	156.437	156.441	296	0	2
2024.05.14	21:30:00	156.441	156.443	156.402	156.403	156	0	3
2024.05.14	21:45:00	156.403	156.434	156.381	156.433	301	0	1
2024.05.14	22:00:00	156.433	156.447	156.412	156.415	292	0	4
2024.05.14	22:15:00	156.416	156.447	156.404	156.430	198	0	4
2024.05.14	22:30:00	156.430	156.468	156.430	156.467	182	0	4
2024.05.14	22:45:00	156.466	156.472	156.454	156.460	363	0	1
2024.05.14	23:00:00	156.460	156.464	156.437	156.452	138	0	8
2024.05.14	23:15:00	156.452	156.453	156.433	156.444	137	0	8
2024.05.14	23:30:00	156.444	156.444	156.436	156.438	134	0	12
2024.05.14	23:45:00	156.439	156.450	156.399	156.413	196	0	9
2024.05.15	00:00:00	156.389	156.419	156.389	156.403	72	0	30
2024.05.15	00:15:00	156.405	156.416	156.398	156.406	45	0	28
2024.05.15	00:30:00	156.406	156.407	156.399	156.406	28	0	37
2024.05.15	00:45:00	156.406	156.414	156.386	156.409	47	0	25
2024.05.15	01:00:00	156.409	156.451	156.390	156.439	113	0	10
2024.05.15	01:15:00	156.439	156.467	156.439	156.442	171	0	8
2024.05.15	01:30:00	156.442	156.476	156.428	156.431	219	0	11
2024.05.15	01:45:00	156.431	156.432	156.429	156.431	77	0	13
2024.05.15	02:00:00	156.430	156.449	156.422	156.445	114	0	3
2024.05.15	02:15:00	156.445	156.476	156.444	156.457	140	0	4
2024.05.15	02:30:00	156.456	156.520	156.456	156.485	188	0	2
2024.05.15	02:45:00	156.485	156.522	156.482	156.518	220	0	3
2024.05.15	03:00:00	156.519	156.558	156.511	156.552	400	0	4
2024.05.15	03:15:00	156.552	156.553	156.498	156.501	293	0	4
2024.05.15	03:30:00	156.501	156.525	156.478	156.507	326	0	4
2024.05.15	03:45:00	156.507	156.507	156.381	156.387	460	0	0
2024.05.15	04:00:00	156.382	156.442	156.367	156.371	357	0	1
2024.05.15	04:15:00	156.371	156.376	156.306	156.359	423	0	2
2024.05.15	04:30:00	156.358	156.399	156.332	156.355	367	0	3
2024.05.15	04:45:00	156.354	156.386	156.341	156.383	184	0	5
2024.05.15	05:00:00	156.383	156.441	156.381	156.431	228	0	1
2024.05.15	05:15:00	156.431	156.473	156.429	156.461	231	0	3
2024.05.15	05:30:00	156.461	156.474	156.443	156.456	239	0	3
2024.05.15	05:45:00	156.455	156.478	156.445	156.457	298	0	0
2024.05.15	06:00:00	156.457	156.461	156.389	156.438	274	0	1
2024.05.15	06:15:00	156.438	156.438	156.396	156.418	236	0	2
2024.05.15	06:30:00	156.418	156.430	156.402	156.420	163	0	3
2024.05.15	06:45:00	156.420	156.429	156.383	156.393	269	0	3
2024.05.15	07:00:00	156.393	156.394	156.342	156.379	93	0	3
2024.05.15	07:15:00	156.379	156.380	156.343	156.359	158	0	4
2024.05.15	07:30:00	156.359	156.389	156.357	156.371	197	0	2
2024.05.15	07:45:00	156.371	156.371	156.340	156.357	253	0	1
