<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.14	156.201	156.790	156.011	156.413	31301	0	0
2024.05.15	156.389	156.558	154.688	154.865	43623	0	0
2024.05.16	154.856	155.528	153.597	155.359	50432	0	0
2024.05.17	155.363	155.979	155.248	155.613	34412	0	0
2024.05.20	155.610	156.300	155.497	156.236	32301	0	0
2024.05.21	156.222	156.544	155.847	156.148	37642	0	0
2024.05.22	156.141	156.832	156.092	156.765	34424	0	0
2024.05.23	156.769	157.194	156.526	156.898	37261	0	0
2024.05.24	156.901	157.143	156.822	156.987	31209	0	0
2024.05.27	156.940	157.010	156.662	156.879	21423	0	0
2024.05.28	156.808	157.198	156.580	157.127	32014	0	0
2024.05.29	157.130	157.708	156.894	157.627	32049	0	0
2024.05.30	157.626	157.667	156.372	156.768	45206	0	0
2024.05.31	156.795	157.365	156.557	157.220	46209	0	0
2024.06.03	157.180	157.472	155.949	156.047	43275	0	0
2024.06.04	156.049	156.484	154.544	154.875	55218	0	0
2024.06.05	154.873	156.482	154.783	156.065	48866	0	0
2024.06.06	156.075	156.444	155.366	155.591	48484	0	0
2024.06.07	155.528	157.074	155.123	156.762	49834	0	0
2024.06.10	156.680	157.194	156.518	156.992	42543	0	0
2024.06.11	156.994	157.402	156.806	157.115	40049	0	0
2024.06.12	157.113	157.370	155.718	156.703	46766	0	0
2024.06.13	156.703	157.312	156.561	157.017	46176	0	0
2024.06.14	157.003	158.255	156.810	157.355	58914	0	0
2024.06.17	157.295	157.958	157.155	157.715	38759	0	0
2024.06.18	157.702	158.228	157.516	157.847	40100	0	0
2024.06.19	157.840	158.129	157.603	158.075	21537	0	0
2024.06.20	158.068	158.945	157.920	158.926	34078	0	0
2024.06.21	158.923	159.826	158.670	159.783	36956	0	0
2024.06.24	159.760	159.928	158.737	159.604	38569	0	0
2024.06.25	159.589	159.756	159.189	159.679	36281	0	0
2024.06.26	159.654	160.865	159.607	160.805	39757	0	0
2024.06.27	160.768	160.824	160.285	160.734	36627	0	0
2024.06.28	160.749	161.282	160.261	160.826	47835	0	0
2024.07.01	160.760	161.727	160.699	161.458	37851	0	0
2024.07.02	161.432	161.743	161.341	161.587	14276	0	0
2024.07.03	161.422	161.950	160.773	161.678	34062	0	0
2024.07.04	161.662	161.693	160.946	161.266	25874	0	0
2024.07.05	161.256	161.394	160.331	160.739	44710	0	0
2024.07.08	160.750	161.118	160.261	160.815	38704	0	0
2024.07.09	160.787	161.516	160.729	161.321	35912	0	0
2024.07.10	161.308	161.804	161.241	161.672	29356	0	0
2024.07.11	161.665	161.759	157.410	158.842	43237	0	0
2024.07.12	158.857	159.446	157.371	157.861	60076	0	0
2024.07.15	158.073	158.418	157.150	158.083	42758	0	0
2024.07.16	158.017	158.854	157.917	158.350	36902	0	0
2024.07.17	158.332	158.615	156.063	156.203	56320	0	0
2024.07.18	156.147	157.400	155.370	157.356	61459	0	0
2024.07.19	157.357	157.862	156.966	157.445	51299	0	0
2024.07.22	157.430	157.613	156.285	157.000	51065	0	0
2024.07.23	157.008	157.101	155.542	155.565	56762	0	0
2024.07.24	155.582	155.991	153.106	153.850	64825	0	0
2024.07.25	153.852	154.315	151.942	153.937	77239	0	0
2024.07.26	153.938	154.737	153.110	153.723	65689	0	0
2024.07.29	153.675	154.353	153.014	154.000	65193	0	0
2024.07.30	153.994	155.214	152.659	152.734	63858	0	0
2024.07.31	152.762	153.920	149.609	149.969	91046	0	0
2024.08.01	149.944	150.888	148.512	149.342	87296	0	0
2024.08.02	149.361	149.771	146.418	146.485	87658	0	0
2024.08.05	146.382	146.564	141.689	144.183	103595	0	0
2024.08.06	144.182	146.373	143.627	144.291	95864	0	0
2024.08.07	144.320	147.897	144.237	146.658	92122	0	0
2024.08.08	146.659	147.541	145.431	147.235	82329	0	0
2024.08.09	147.231	147.813	146.271	146.586	57838	0	0
2024.08.12	146.543	148.220	146.421	147.183	59662	0	2
2024.08.13	147.189	147.945	146.597	146.820	60647	0	2
2024.08.14	146.809	147.574	146.072	147.304	65603	0	2
2024.08.15	147.299	149.376	147.053	149.267	56041	0	2
2024.08.16	149.257	149.342	147.567	147.590	57724	0	2
2024.08.19	147.577	148.050	145.187	146.565	69447	0	2
2024.08.20	146.566	147.342	145.194	145.246	66902	0	2
2024.08.21	145.232	145.586	144.930	145.438	12898	0	2
